"STATION","NAME","DATE","ACMH","ACSH","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TMAX","TMIN","TOBS","TSUN","WDFG","WDFM","WESD","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-02",,,,,,," 1130","0.00",,"0.0","0.0","91","75",,,"   68",,,"17.2",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-03",,,,,,," 1618","0.00",,"0.0","0.0","95","74",,,"  158",,,"17.2",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-04",,,,,,," 1100","0.00",,"0.0","0.0","95","74",,,"  293",,,"25.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-05",,,,,,," 0842","0.00",,"0.0","0.0","84","71",,,"   45",,,"15.0",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-06",,,,,,," 1524","0.00",,"0.0","0.0","97","72",,,"  203",,,"19.5",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-07",,,,,,," 0742","0.00",,"0.0","0.0","100","74",,,"  180",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-08",,,,,,," 1948","0.01",,"0.0","0.0","96","74",,,"  248",,,"27.5",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-09",,,,,,," 1654","0.00",,"0.0","0.0","74","62",,,"  315",,,"27.5",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-10",,,,,,," 1206","0.00",,"0.0","0.0","76","58",,,"  135",,,"17.2",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-11",,,,,,," 1454","0.06",,"0.0","0.0","79","54",,,"  270",,,"21.9",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-12",,,,,,," 1248","0.00",,"0.0","0.0","68","55",,,"  338",,,"33.3",,,,,,,,,,,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-13",,,,,,," 1324","0.00",,"0.0","0.0","71","51",,,"  315",,,"25.3",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-14",,,,,,," 1454","0.00",,"0.0","0.0","80","50",,,"  225",,,"20.8",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-15",,,,,,," 0206","0.05",,"0.0","0.0","76","61",,,"  293",,,"15.0",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-16",,,,,,," 2312","0.00",,"0.0","0.0","73","64",,,"  203",,,"23.0",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-17",,,,,,," 1000","0.00",,"0.0","0.0","80","63",,,"  248",,,"19.5",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-18",,,,,,," 2218","0.82",,"0.0","0.0","77","63",,,"  293",,,"31.1",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-19",,,,,,," 1136","0.22",,"0.0","0.0","70","60",,,"  315",,,"23.0",,"    1",,"    1",,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-20",,,,,,," 0118","0.00",,"0.0","0.0","65","59",,,"  315",,,"16.1",,,,,,,,,"    1",,,,"    1",
